StdOrder,RunOrder,Temperature_C,pH,Stir_Rate_rpm,Titer_g_L
10,1,34.0,6.0,500.0,11.997773925120741
12,2,34.0,7.2,500.0,11.601244599920824
1,3,30.0,6.0,350.0,11.303949543664716
14,4,34.0,6.6,350.0,17.952145049502878
6,5,30.0,6.6,500.0,13.806666547983594
9,6,34.0,6.0,200.0,11.751662125919001
3,7,38.0,6.0,350.0,11.120454776934537
2,8,30.0,7.2,350.0,11.244757349468587
15,9,34.0,6.6,350.0,18.066623670469422
5,10,30.0,6.6,200.0,13.569607049417076
8,11,38.0,6.6,500.0,13.842739380715996
11,12,34.0,7.2,200.0,11.869604344731712
13,13,34.0,6.6,350.0,18.340301779650762
4,14,38.0,7.2,350.0,11.248576335508663
7,15,38.0,6.6,200.0,13.642463144660995
